"CodigoT","RutC","CodigoH","CodigoPeli","NumSala","NumSucur"
"642","16491069-4","224","29","12","1"
"1005","14332169-k","224","29","12","1"
"1859","14276815-2","224","29","12","1"
"2712","10790424-1","224","29","12","1"
"453","15601732-1","225","70","3","6"
"487","9286538-3","225","70","3","6"
"837","17660096-9","225","70","3","6"
"1948","9085331-7","225","70","3","6"
"2324","13541770-5","225","70","3","6"
"2549","11713289-4","225","70","3","6"
"2674","8279987-1","225","70","3","6"
"1930","18963549-0","226","31","1","2"
"2027","20199876-5","226","31","1","2"
"2361","11810558-3","226","31","1","2"
"2799","16047416-1","226","31","1","2"
"1734","17063081-1","228","52","7","1"
"564","8863436-1","229","99","9","1"
"1030","15063139-3","229","99","9","1"
"1099","15601732-1","229","99","9","1"
"1725","15312308-8","229","99","9","1"
"3008","20401942-7","229","99","9","1"
"1483","13667876-1","230","100","9","4"
"2432","14348444-2","230","100","9","4"
"2518","10767560-9","230","100","9","4"
"2940","15682738-4","230","100","9","4"
"1534","11830357-4","231","60","9","1"
"1810","8073015-9","231","60","9","1"
"2560","9552104-1","231","60","9","1"
"2911","11292358-5","231","60","9","1"
"1628","16987731-k","232","44","1","2"
"2405","17352948-1","232","44","1","2"
"2854","19934401-3","232","44","1","2"
"1647","20332018-5","233","55","4","4"
"1991","10297836-4","233","55","4","4"
"2946","9055945-1","233","55","4","4"
"1078","16549557-k","234","25","4","3"
"1558","14810129-5","234","25","4","3"
"2837","19092277-7","234","25","4","3"
"1379","9054608-5","236","107","5","5"
"2466","20294955-1","236","107","5","5"
"2771","8097853-5","236","107","5","5"
"2878","14027767-0","236","107","5","5"
"233","12828180-2","237","82","10","2"
"1664","16435884-7","237","82","10","2"
"147","14487518-3","238","106","6","1"
"821","11617022-8","238","106","6","1"
"1419","10774675-3","238","106","6","1"
"2022","9613633-k","238","106","6","1"
"72","14341626-9","239","42","4","3"
"584","8369907-k","239","42","4","3"
"714","20708637-2","239","42","4","3"
"1433","10939100-6","239","42","4","3"
"2123","9094474-3","239","42","4","3"
"2204","20892590-3","239","42","4","3"
"620","14996634-7","240","101","4","6"
"1256","13138149-8","240","101","4","6"
"1589","17206394-k","240","101","4","6"
"1610","14749709-9","240","101","4","6"
"2648","10693941-0","240","101","4","6"
"2617","9266850-6","241","116","4","6"
"2398","17396524-6","242","117","1","7"
"1360","17817723-4","243","31","9","2"
"2058","12879017-0","243","31","9","2"
"1849","15707082-0","244","69","4","7"
"2046","9907200-1","244","69","4","7"
"2447","16550359-1","244","69","4","7"
"2683","17464763-7","244","69","4","7"
"178","12698243-9","245","87","7","7"
"1509","20573095-8","245","87","7","7"
"1692","14701782-6","245","87","7","7"
"2471","8114563-0","245","87","7","7"
"356","19774171-6","246","95","5","5"
"829","14084419-3","246","95","5","5"
"1268","18552186-0","246","95","5","5"
"1926","11907362-2","246","95","5","5"
"71","15181722-2","247","58","7","1"
"362","14701782-6","247","58","7","1"
"659","13715843-9","247","58","7","1"
"1922","14027767-0","247","58","7","1"
"2236","11336301-8","247","58","7","1"
"251","9085926-7","248","87","4","6"
"1019","17109965-3","248","87","4","6"
"2338","16326039-k","248","87","4","6"
"98","16171427-0","249","44","4","3"
"2492","8075594-k","249","44","4","3"
"2779","9443932-4","249","44","4","3"
"248","9937779-0","250","69","12","1"
"335","10992083-4","250","69","12","1"
"784","14947436-k","250","69","12","1"
"1035","17511451-0","250","69","12","1"
"1669","8685962-1","250","69","12","1"
"2249","14616063-6","250","69","12","1"
"2408","17482590-7","250","69","12","1"
"2496","8237412-6","250","69","12","1"
"2745","8147134-8","250","69","12","1"
"62","13253355-2","251","38","10","4"
"529","10441269-7","251","38","10","4"
"1170","17210477-3","251","38","10","4"
"1462","9965544-2","251","38","10","4"
"1761","15177835-k","251","38","10","4"
"2428","16564057-9","251","38","10","4"
"207","9995143-6","252","117","3","5"
"578","19934401-3","252","117","3","5"
"916","16636715-1","252","117","3","5"
"1441","18743719-5","252","117","3","5"
"1994","16843845-5","252","117","3","5"
"2298","14016140-1","252","117","3","5"
"476","19092277-7","253","79","7","4"
"2145","13605305-4","253","79","7","4"
"2179","14016140-1","253","79","7","4"
"352","13495835-8","254","112","7","7"
"688","18940276-3","254","112","7","7"
"834","12777311-7","254","112","7","7"
"874","10790424-1","254","112","7","7"
"1598","13253355-2","254","112","7","7"
"1945","14725048-7","254","112","7","7"
"2770","14337411-0","254","112","7","7"
"2958","9255049-1","254","112","7","7"
"1073","18636428-8","255","71","1","1"
"1079","16362599-2","255","71","1","1"
"1512","16823495-5","255","71","1","1"
"1770","11188506-k","255","71","1","1"
"2158","17851180-7","255","71","1","1"
"2446","17933811-5","255","71","1","1"
"156","11655553-0","256","82","7","1"
"1106","18631120-9","256","82","7","1"
"2626","8184407-6","256","82","7","1"
"3000","17442488-5","256","82","7","1"
"301","12226775-0","257","53","6","4"
"2059","17371250-5","257","53","6","4"
"715","14599488-k","258","68","3","7"
"1010","13667876-1","258","68","3","7"
"1325","8369907-k","258","68","3","7"
"1760","20392759-9","258","68","3","7"
"1800","20659036-2","258","68","3","7"
"2138","14770284-4","258","68","3","7"
"2245","16710780-9","258","68","3","7"
"816","20294955-1","259","68","4","4"
"2506","20226010-9","259","68","4","4"
"243","11428132-4","260","61","1","2"
"1708","11068671-k","260","61","1","2"
"2077","12086364-5","260","61","1","2"
"957","14061309-k","261","110","8","6"
"2295","11943813-5","261","110","8","6"
"2332","9130385-5","261","110","8","6"
"2368","9914406-k","261","110","8","6"
"574","14439096-2","262","47","4","3"
"2702","17352948-1","262","47","4","3"
"1814","11726357-3","263","94","2","1"
"2303","10064831-2","263","94","2","1"
"1835","16873584-0","264","11","10","4"
"2251","20309713-3","264","11","10","4"
"2426","16710780-9","264","11","10","4"
"1167","18474437-5","265","25","2","2"
"1431","17548863-0","265","25","2","2"
"306","14412228-k","266","69","11","1"
"594","20535525-0","266","69","11","1"
"984","11896298-8","266","69","11","1"
"1532","9459863-0","266","69","11","1"
"2455","8032534-9","266","69","11","1"
"2494","16171427-0","266","69","11","1"
"2076","11726357-3","267","73","1","4"
"2781","18516050-1","267","73","1","4"
"245","17978708-k","268","70","7","7"
"531","15601732-1","268","70","7","7"
"664","15395078-9","268","70","7","7"
"736","15681363-5","268","70","7","7"
"1533","17442488-5","268","70","7","7"
"1768","14061309-k","268","70","7","7"
"3004","17019466-4","269","12","7","7"
"65","14427648-k","270","99","3","3"
"798","16564057-9","270","99","3","3"
"1218","20441380-9","270","99","3","3"
"2865","14149723-3","270","99","3","3"
"1016","8073761-2","271","72","6","6"
"1944","18749851-9","271","72","6","6"
"2344","18317364-7","271","72","6","6"
"2483","11202355-8","271","72","6","6"
"2585","13765219-4","271","72","6","6"
"138","9445879-6","272","88","6","6"
"1294","14149723-3","272","88","6","6"
"2215","17175310-k","272","88","6","6"
"2525","14427648-k","272","88","6","6"
"2956","9136245-5","272","88","6","6"
"886","13828326-k","273","104","3","2"
"1463","18217122-7","273","104","3","2"
"1672","19335110-1","273","104","3","2"
"2359","9459863-0","273","104","3","2"
"2757","10727844-8","273","104","3","2"
"2763","19971970-1","273","104","3","2"
"1395","13114612-9","274","34","9","2"
"1493","11662701-5","274","34","9","2"
"2275","18648095-5","274","34","9","2"
"2759","17371250-5","274","34","9","2"
"2849","10693941-0","275","62","3","3"
"2959","17511451-0","275","62","3","3"
"902","16733473-6","276","72","7","4"
"2202","18450769-6","276","72","7","4"
"2915","12964476-k","276","72","7","4"
"94","20667927-9","277","44","5","2"
"1479","20038299-k","277","44","5","2"
"1516","8649952-8","277","44","5","2"
"1916","9060547-7","277","44","5","2"
"128","16089346-1","278","4","1","1"
"141","20064244-5","278","4","1","1"
"386","9255049-1","278","4","1","1"
"459","11522656-7","278","4","1","1"
"467","10108040-k","278","4","1","1"
"1020","9085331-7","278","4","1","1"
"1053","14335613-8","278","4","1","1"
"1642","20796416-9","278","4","1","1"
"1886","14084419-3","278","4","1","1"
"2423","20305893-5","278","4","1","1"
"153","14488058-6","279","88","6","4"
"491","11894783-5","279","88","6","4"
"1843","11810558-3","279","88","6","4"
"134","15320255-5","280","28","1","7"
"277","16047416-1","280","28","1","7"
"1629","14439096-2","280","28","1","7"
"1755","15227805-2","280","28","1","7"
"2973","10335401-2","280","28","1","7"
"803","9596955-7","282","74","2","5"
"969","8740225-6","282","74","2","5"
"1567","11522656-7","282","74","2","5"
"2172","14253634-7","282","74","2","5"
"2811","10297836-4","282","74","2","5"
"1436","14145803-6","283","92","4","3"
"1955","16843845-5","283","92","4","3"
"2258","14290120-7","283","92","4","3"
"1039","13921351-0","284","116","1","3"
"2385","17741706-1","284","116","1","3"
"518","19746460-9","285","29","13","1"
"830","18129935-1","285","29","13","1"
"1333","10064831-2","285","29","13","1"
"1887","15609542-8","285","29","13","1"
"876","11123018-7","286","92","8","4"
"917","9286538-3","286","92","8","4"
"1225","9085331-7","286","92","8","4"
"1226","18217236-8","286","92","8","4"
"31","14335613-8","287","87","2","1"
"872","8184682-0","287","87","2","1"
"1774","9216496-2","287","87","2","1"
"2572","20113042-4","287","87","2","1"
"22","20961534-8","288","84","5","2"
"377","19565542-5","288","84","5","2"
"923","19603331-0","288","84","5","2"
"1125","9965544-2","288","84","5","2"
"2845","17917980-6","288","84","5","2"
"781","9596955-7","289","81","5","2"
"955","10441269-7","290","66","8","1"
"1027","14033225-8","290","66","8","1"
"1943","19225627-2","290","66","8","1"
"1997","12562035-6","290","66","8","1"
"2335","15135343-0","290","66","8","1"
"117","9459863-0","291","79","13","1"
"196","12621014-3","291","79","13","1"
"1048","11907362-2","291","79","13","1"
"1377","18362451-1","291","79","13","1"
"1606","13176940-k","291","79","13","1"
"354","17978708-k","292","98","6","1"
"689","8065301-k","292","98","6","1"
"1578","12288787-1","292","98","6","1"
"154","14609900-6","293","56","3","3"
"2923","15706872-k","293","56","3","3"
"1343","17442488-5","294","90","3","6"
"1685","17917980-6","294","90","3","6"
"2330","13605305-4","294","90","3","6"
"1244","20294955-1","295","81","3","6"
"1617","13806504-0","295","81","3","6"
"1715","8237412-6","295","81","3","6"
"1822","13080141-3","295","81","3","6"
"1949","17329272-3","295","81","3","6"
"226","19193124-4","296","66","7","7"
"749","13822374-8","296","66","7","7"
"1085","13327869-1","296","66","7","7"
"1295","14599488-k","296","66","7","7"
"1356","15615214-9","296","66","7","7"
"1763","9085926-7","296","66","7","7"
"2002","15227805-2","296","66","7","7"
"2229","17933811-5","296","66","7","7"
"2900","9459863-0","296","66","7","7"
"644","15383944-0","297","80","8","1"
"2054","20401942-7","297","80","8","1"
"2910","9564504-k","297","80","8","1"
"2363","8032534-9","298","36","6","4"
"2722","20710689-5","298","36","6","4"
"705","17371250-5","299","52","4","2"
"742","13856700-2","299","52","4","2"
"867","19603331-0","299","52","4","2"
"1357","8073015-9","299","52","4","2"
"1857","17631731-6","299","52","4","2"
"2645","15404981-6","299","52","4","2"
"1192","11751504-6","300","83","12","1"
"1634","14253634-7","300","83","12","1"
"2796","15063139-3","300","83","12","1"
"2874","11123018-7","300","83","12","1"
"1613","9564504-k","301","60","3","2"
"1957","8128017-2","301","60","3","2"
"845","13822374-8","302","116","6","7"
"1622","11666789-9","302","116","6","7"
"2754","18098095-1","302","116","6","7"
"2772","20545932-4","302","116","6","7"
"1149","8000583-3","303","81","1","7"
"2884","18437929-9","303","81","1","7"
"3006","10715773-7","303","81","1","7"
"836","15887640-7","304","64","6","4"
"163","20888178-k","305","62","2","2"
"2515","13605305-4","305","62","2","2"
"586","19315065-7","306","12","10","2"
"2720","13781120-9","306","12","10","2"
"222","8649952-8","308","44","11","1"
"527","17785357-0","308","44","11","1"
"739","15738269-9","308","44","11","1"
"1242","12964476-k","308","44","11","1"
"1700","20573095-8","308","44","11","1"
"956","10428168-8","309","116","3","3"
"3002","13395070-4","309","116","3","3"
"334","8073015-9","310","55","8","4"
"651","14425090-8","310","55","8","4"
"2032","20299661-1","310","55","8","4"
"1184","15981330-2","311","57","8","4"
"2692","17371250-5","311","57","8","4"
"1780","15707082-0","312","19","2","1"
"1897","9044598-1","312","19","2","1"
"1947","17585173-4","312","19","2","1"
"2387","8234237-7","312","19","2","1"
"25","13921351-0","314","110","3","3"
"392","20338419-1","314","110","3","3"
"637","16167206-3","314","110","3","3"
"1654","13767180-8","314","110","3","3"
"15","15404981-6","315","99","5","5"
"996","18963549-0","315","99","5","5"
"1767","12161292-9","315","99","5","5"
"2655","20762457-k","315","99","5","5"
"2694","11685160-k","315","99","5","5"
"2969","8685962-1","315","99","5","5"
"118","19033204-3","316","82","1","4"
"1998","16089346-1","316","82","1","4"
"16","16900639-3","317","102","2","7"
"516","20888178-k","317","102","2","7"
"1538","14947436-k","317","102","2","7"
"885","17371250-5","318","106","3","3"
"971","8943136-3","318","106","3","3"
"105","11893748-7","319","90","8","1"
"337","15620003-7","319","90","8","1"
"454","12026162-1","319","90","8","1"
"914","18362451-1","319","90","8","1"
"1136","16494777-6","319","90","8","1"
"1275","11428132-4","319","90","8","1"
"1477","19156540-8","319","90","8","1"
"1956","17631731-6","319","90","8","1"
"2342","20319057-9","319","90","8","1"
"2646","19758685-7","319","90","8","1"
"1415","20486586-5","321","112","6","4"
"2343","14719222-4","321","112","6","4"
"759","18606698-6","322","59","2","3"
"948","15438523-2","322","59","2","3"
"1398","20254362-7","322","59","2","3"
"2635","18129935-1","322","59","2","3"
"2678","15165692-9","322","59","2","3"
"129","11292358-5","323","54","8","1"
"339","13667876-1","323","54","8","1"
"881","18077782-k","323","54","8","1"
"2081","16089346-1","323","54","8","1"
"2889","13253355-2","323","54","8","1"
"1239","8981754-7","324","56","9","4"
"1071","14488058-6","325","19","3","5"
"2421","8712056-2","325","19","3","5"
"2116","12690699-2","326","65","7","4"
"444","18606698-6","327","57","1","7"
"1227","11386599-3","327","57","1","7"
"2098","9085331-7","327","57","1","7"
"93","9828461-8","328","55","2","1"
"461","13176940-k","328","55","2","1"
"1013","18882428-8","328","55","2","1"
"2761","15181722-2","328","55","2","1"
"197","15681363-5","329","116","7","7"
"911","8097853-5","329","116","7","7"
"1272","16604405-0","329","116","7","7"
"616","11947826-6","330","74","6","4"
"2026","10667240-k","330","74","6","4"
"7","14864252-0","331","67","10","2"
"480","13798388-0","331","67","10","2"
"1100","10175302-0","331","67","10","2"
"2207","8740225-6","331","67","10","2"
"2938","9984013-9","331","67","10","2"
"1572","14609900-6","332","52","6","1"
"2668","11007082-7","332","52","6","1"
"2937","14149723-3","332","52","6","1"
"216","18636428-8","333","2","8","6"
"2216","11034471-3","333","2","8","6"
"2302","9063641-3","333","2","8","6"
"2037","10939100-6","334","95","9","4"
"2311","10444682-9","334","95","9","4"
"2318","8620394-k","334","95","9","4"
"877","12026162-1","335","73","6","4"
"1695","10947857-0","335","73","6","4"
"26","15981330-2","336","34","3","6"
"1021","12373064-2","336","34","3","6"
"1330","10581922-6","336","34","3","6"
"2731","11702686-7","336","34","3","6"
"10","10888624-8","338","38","6","1"
"244","20949049-6","338","38","6","1"
"554","17363606-8","338","38","6","1"
"1719","19971970-1","338","38","6","1"
"2474","13806504-0","338","38","6","1"
"2542","12226775-0","338","38","6","1"
"2707","15216115-k","338","38","6","1"
"2913","15383944-0","338","38","6","1"
"989","14348444-2","339","101","7","4"
"1491","19467057-0","339","101","7","4"
"627","8863436-1","340","2","2","4"
"839","9130385-5","340","2","2","4"
"1501","20085358-6","340","2","2","4"
"2140","20085358-6","340","2","2","4"
"2497","16873584-0","340","2","2","4"
"2740","17494047-6","340","2","2","4"
"581","11893748-7","341","82","2","4"
"1582","14810129-5","342","58","6","2"
"1696","18228449-k","342","58","6","2"
"1744","14969971-1","342","58","6","2"
"2007","12460133-7","342","58","6","2"
"1034","13177183-6","343","18","11","1"
"1320","13697469-8","343","18","11","1"
"1600","16873584-0","343","18","11","1"
"2205","17122728-2","343","18","11","1"
"424","9937779-0","344","28","9","1"
"1070","9201513-6","344","28","9","1"
"201","10947857-0","345","95","5","4"
"2018","11203862-k","345","95","5","4"
"2297","12776718-2","345","95","5","4"
"1790","13767180-8","346","82","8","4"
"2708","20058796-1","346","82","8","4"
"1417","8826989-2","348","76","10","4"
"1855","13559609-8","348","76","10","4"
"2634","15520049-k","348","76","10","4"
"2861","16047416-1","348","76","10","4"
"206","10917145-6","349","67","9","1"
"469","12086364-5","349","67","9","1"
"1116","14439096-2","349","67","9","1"
"1638","11048683-5","349","67","9","1"
"2016","16267009-9","349","67","9","1"
"2520","20338419-1","349","67","9","1"
"2793","17109965-3","349","67","9","1"
"2897","12779727-2","349","67","9","1"
"1341","14625618-9","350","73","3","4"
"1093","14016140-1","351","2","1","4"
"2358","15681363-5","351","2","1","4"
"1011","11352923-2","352","18","3","7"
"1809","17878980-0","352","18","3","7"
"2587","17978698-2","352","18","3","7"
"605","10459593-0","353","66","6","2"
"204","17482590-7","354","57","1","3"
"734","12690699-2","355","56","5","2"
"855","11685160-k","355","56","5","2"
"1727","16550359-1","356","5","10","2"
"2570","14145803-6","356","5","10","2"
"19","19315065-7","357","36","4","6"
"1022","16494777-6","357","36","4","6"
"1205","18474437-5","357","36","4","6"
"88","14719222-4","358","98","4","6"
"400","18740684-8","358","98","4","6"
"922","10313654-k","358","98","4","6"
"1126","17461264-7","358","98","4","6"
"1703","9596955-7","358","98","4","6"
"629","20163212-7","359","101","5","4"
"650","13806504-0","360","64","1","7"
"640","19204276-2","361","117","6","4"
"1176","15620003-7","361","117","6","4"
"2072","20199876-5","361","117","6","4"
"127","20085358-6","362","73","8","6"
"1980","15098138-5","362","73","8","6"
"2261","13675642-2","362","73","8","6"
"492","11454209-4","363","95","2","4"
"718","13644034-0","363","95","2","4"
"938","10917145-6","363","95","2","4"
"1262","9965544-2","363","95","2","4"
"2340","11830357-4","363","95","2","4"
"528","16843845-5","364","87","8","4"
"1472","17631731-6","364","87","8","4"
"143","13765219-4","365","117","9","4"
"2133","14947436-k","365","117","9","4"
"2255","16302450-4","365","117","9","4"
"2813","17442488-5","365","117","9","4"
"1396","16171427-0","366","94","2","5"
"254","16518283-8","367","44","3","2"
"1376","16086056-k","367","44","3","2"
"2843","16267009-9","367","44","3","2"
"1932","14427648-k","368","100","7","6"
"2394","18299515-4","368","100","7","6"
"183","9828461-8","369","31","6","1"
"546","11896298-8","369","31","6","1"
"1202","14724071-3","369","31","6","1"
"1460","10605365-3","369","31","6","1"
"1826","11148305-4","369","31","6","1"
"2764","16362599-2","369","31","6","1"
"1824","9443932-4","370","112","8","4"
"2840","10790424-1","370","112","8","4"
"970","9055945-1","371","103","3","3"
"1267","14556123-k","371","103","3","3"
"2882","19366069-2","371","103","3","3"
"2887","10175302-0","371","103","3","3"
"210","17352948-1","372","5","12","1"
"1040","20819150-8","372","5","12","1"
"1830","15887640-7","372","5","12","1"
"2625","11896298-8","372","5","12","1"
"2747","17280525-7","372","5","12","1"
"366","15581031-8","373","69","1","7"
"381","13667876-1","373","69","1","7"
"522","14524782-6","373","69","1","7"
"859","19746460-9","373","69","1","7"
"1282","9907200-1","373","69","1","7"
"1307","13765219-4","373","69","1","7"
"2126","18407045-3","373","69","1","7"
"2461","19486455-7","373","69","1","7"
"2792","20299661-1","373","69","1","7"
"2867","8943136-3","373","69","1","7"
"255","8700222-4","374","26","7","7"
"384","9528123-5","374","26","7","7"
"1452","18734319-0","374","26","7","7"
"1818","20294955-1","374","26","7","7"
"2125","16155973-3","374","26","7","7"
"2224","18288907-0","374","26","7","7"
"2485","11902049-k","374","26","7","7"
"2540","10727844-8","374","26","7","7"
"2579","16846561-4","374","26","7","7"
"1559","12484992-8","375","19","4","4"
"1941","15044895-3","375","19","4","4"
"2541","20319057-9","375","19","4","4"
"2613","18864795-0","375","19","4","4"
"430","20064244-5","376","59","10","1"
"903","16632628-2","376","59","10","1"
"1114","9552104-1","376","59","10","1"
"1168","12373064-2","376","59","10","1"
"2106","18119019-k","376","59","10","1"
"2805","10754194-8","377","52","6","6"
"309","16871053-k","379","82","1","7"
"598","18630809-0","379","82","1","7"
"2184","16728871-1","379","82","1","7"
"1143","20226010-9","380","110","4","4"
"793","14810129-5","381","70","5","5"
"1513","16900639-3","381","70","5","5"
"1903","18636428-8","381","70","5","5"
"242","18474437-5","382","13","8","1"
"250","9828461-8","382","13","8","1"
"667","15601732-1","382","13","8","1"
"800","20961534-8","382","13","8","1"
"1697","17363606-8","382","13","8","1"
"2852","17230815-1","382","13","8","1"
"302","19859239-6","383","84","9","1"
"731","15671294-9","384","5","7","1"
"838","18864795-0","384","5","7","1"
"1161","13867565-2","384","5","7","1"
"1866","15165692-9","384","5","7","1"
"1986","10064831-2","384","5","7","1"
"2873","20659036-2","384","5","7","1"
"888","10939100-6","385","80","3","3"
"1543","19174079-1","385","80","3","3"
"1565","14599488-k","385","80","3","3"
"2815","11011210-1","385","80","3","3"
"258","12906102-7","386","99","3","4"
"608","12877558-6","387","69","4","2"
"1449","12885989-2","387","69","4","2"
"2831","8147134-8","387","69","4","2"
"411","14145803-6","388","7","4","4"
"1322","19603331-0","388","7","4","4"
"39","10459593-0","389","112","1","4"
"456","10064831-2","389","112","1","4"
"915","11966213-6","390","82","7","6"
"1216","19575731-6","390","82","7","6"
"1423","10631083-4","390","82","7","6"
"2325","14556123-k","390","82","7","6"
"1327","9085926-7","391","81","7","6"
"2901","14919705-6","391","81","7","6"
"2933","15682738-4","391","81","7","6"
"327","20294955-1","392","99","8","1"
"358","17372403-3","392","99","8","1"
"698","9044598-1","392","99","8","1"
"756","8369907-k","392","99","8","1"
"972","14995351-5","392","99","8","1"
"1076","10913321-4","392","99","8","1"
"1281","19552856-3","392","99","8","1"
"1526","8032534-9","392","99","8","1"
"2327","18201436-4","392","99","8","1"
"2822","8644759-7","392","99","8","1"
"1666","12779727-2","393","38","1","3"
"1679","15181722-2","393","38","1","3"
"1872","16518283-8","394","13","3","2"
"991","11007082-7","395","71","9","2"
"1023","15682738-4","395","71","9","2"
"1163","15520049-k","395","71","9","2"
"1475","11203862-k","395","71","9","2"
"2042","16846561-4","395","71","9","2"
"2066","18247213-3","395","71","9","2"
"2070","17122728-2","395","71","9","2"
"2413","8075594-k","395","71","9","2"
"2718","17230815-1","395","71","9","2"
"477","11947826-6","396","21","7","7"
"924","18626693-2","396","21","7","7"
"1249","16846561-4","396","21","7","7"
"1446","19473500-2","396","21","7","7"
"2153","13828326-k","396","21","7","7"
"980","14149723-3","397","42","1","4"
"1644","8032534-9","397","42","1","4"
"582","10348169-5","398","106","5","6"
"389","8981754-7","399","72","2","2"
"1090","8981754-7","399","72","2","2"
"1240","16171427-0","399","72","2","2"
"1284","13327869-1","399","72","2","2"
"2112","14701782-6","399","72","2","2"
"2992","13605305-4","399","72","2","2"
"779","19758685-7","400","105","6","1"
"1298","8000583-3","400","105","6","1"
"2120","17175310-k","400","105","6","1"
"2230","17660096-9","400","105","6","1"
"2365","14300378-8","400","105","6","1"
"2802","13736347-9","400","105","6","1"
"235","17219279-2","401","76","3","6"
"1677","12879017-0","401","76","3","6"
"2366","14145803-6","401","76","3","6"
"2820","11700326-1","401","76","3","6"
"2941","19417697-k","401","76","3","6"
"699","19675443-k","402","57","1","4"
"215","8075594-k","403","61","5","6"
"822","13177183-6","403","61","5","6"
"263","10627199-5","404","73","6","2"
"535","12026162-1","404","73","6","2"
"1710","16895893-1","404","73","6","2"
"1984","10727844-8","404","73","6","2"
"2582","15165692-9","404","73","6","2"
"191","17461264-7","406","25","10","2"
"2105","17219279-2","406","25","10","2"
"2598","13635774-5","406","25","10","2"
"481","15866308-9","407","18","9","4"
"160","13603059-3","408","71","8","6"
"322","19033204-3","408","71","8","6"
"2199","10574225-1","408","71","8","6"
"805","20085358-6","409","36","3","7"
"1657","8943136-3","409","36","3","7"
"2460","13605305-4","409","36","3","7"
"2563","9443932-4","409","36","3","7"
"2945","8073015-9","409","36","3","7"
"35","13603059-3","410","90","12","1"
"460","17040350-6","410","90","12","1"
"505","14599488-k","410","90","12","1"
"857","12026162-1","410","90","12","1"
"1920","10600584-6","410","90","12","1"
"1017","19259002-8","411","69","1","4"
"2995","17654539-7","411","69","1","4"
"81","20305893-5","412","57","5","6"
"307","9552104-1","413","102","6","6"
"403","16639599-3","413","102","6","6"
"435","13765219-4","413","102","6","6"
"707","9286538-3","413","102","6","6"
"1061","20163212-7","413","102","6","6"
"2489","15061698-8","413","102","6","6"
"512","9459863-0","414","60","6","6"
"1709","18866491-0","414","60","6","6"
"1914","11655553-0","414","60","6","6"
"2624","13495835-8","414","60","6","6"
"2950","14556123-k","414","60","6","6"
"861","10798961-2","415","78","2","7"
"1308","10999391-6","415","78","2","7"
"1448","16550359-1","415","78","2","7"
"1616","18474437-5","415","78","2","7"
"2380","9255049-1","415","78","2","7"
"2523","16677394-1","415","78","2","7"
"2835","20309713-3","415","78","2","7"
"2926","13327869-1","417","63","5","2"
"3","15122887-5","418","114","3","2"
"557","16326039-k","418","114","3","2"
"1124","14609900-6","418","114","3","2"
"1614","10600584-6","418","114","3","2"
"2239","19340427-2","418","114","3","2"
"2393","8369907-k","418","114","3","2"
"2415","20892590-3","418","114","3","2"
"1137","17019466-4","419","74","5","6"
"1214","12294463-4","419","74","5","6"
"172","19252941-5","420","42","10","4"
"1714","16895570-k","421","70","10","2"
"1154","11499588-0","422","80","6","1"
"1292","17040350-6","422","80","6","1"
"1397","10917145-6","422","80","6","1"
"2362","17442488-5","422","80","6","1"
"2404","11685160-k","422","80","6","1"
"2962","17363606-8","422","80","6","1"
"259","17631731-6","423","105","6","4"
"595","20319057-9","423","105","6","4"
"865","18201436-4","423","105","6","4"
"1639","12828180-2","423","105","6","4"
"139","20473342-1","424","36","13","1"
"1069","13607666-0","424","36","13","1"
"1349","18626693-2","424","36","13","1"
"1665","20873789-0","424","36","13","1"
"2191","14439096-2","424","36","13","1"
"897","10425256-0","425","42","3","7"
"1250","12877558-6","425","42","3","7"
"1348","9984013-9","425","42","3","7"
"1904","9063641-3","425","42","3","7"
"2638","11713289-4","425","42","3","7"
"2919","19603331-0","425","42","3","7"
"1946","8891180-4","426","47","10","4"
"1968","17661672-0","426","47","10","4"
"2753","18753000-6","426","47","10","4"
"1631","11336301-8","427","13","1","5"
"2287","17494047-6","429","103","3","5"
"2621","10992083-4","429","103","3","5"
"2983","12779727-2","430","106","1","2"
"84","16549557-k","431","66","9","1"
"1229","13595142-k","431","66","9","1"
"1858","20309713-3","431","66","9","1"
"2470","17442488-5","431","66","9","1"
"713","14061309-k","432","64","8","1"
"850","11893748-7","432","64","8","1"
"1414","16846561-4","432","64","8","1"
"1658","8700222-4","432","64","8","1"
"2036","9829004-8","432","64","8","1"
"2559","20659036-2","432","64","8","1"
"2575","9136245-5","432","64","8","1"
"2898","15918301-2","432","64","8","1"
"1","17019466-4","433","42","5","6"
"180","18077782-k","433","42","5","6"
"1135","16155973-3","433","42","5","6"
"1299","13495835-8","433","42","5","6"
"2803","15633204-k","433","42","5","6"
"1266","14810129-5","434","62","1","1"
"2571","15404981-6","434","62","1","1"
"2574","16843845-5","434","62","1","1"
"708","11655553-0","435","101","4","4"
"1581","18943805-7","435","101","4","4"
"1413","12977668-4","436","5","9","2"
"2201","16130198-2","436","5","9","2"
"2397","17210477-3","436","5","9","2"
"2826","8322641-9","436","5","9","2"
"1182","20486586-5","437","63","1","3"
"1418","12562035-6","437","63","1","3"
"2448","12161292-9","437","63","1","3"
"769","14425090-8","438","69","4","3"
"2464","11123018-7","438","69","4","3"
"2715","18288907-0","438","69","4","3"
"1233","16089346-1","439","75","3","4"
"1847","10693941-0","439","75","3","4"
"2885","15177835-k","439","75","3","4"
"2517","14027767-0","440","13","3","3"
"763","20058796-1","441","98","5","2"
"999","15918301-2","441","98","5","2"
"1264","13822374-8","441","98","5","2"
