"RutC","Nombre"
"20567956-4","Elena Vega"
"20573095-8","Celeste Rios"
"20579078-6","Camilo Castro"
"20623137-9","Julian Molina"
"20650469-3","Andres Vega"
"20657101-6","Alex Acosta"
"20659036-2","Sofia Acosta"
"20667927-9","Lucas Ruiz"
"20670201-1","Catalina Herrera"
"20703144-9","Andrea Morales"
"20708637-2","Nicole Flores"
"20710689-5","Camilo Sosa"
"20714095-5","Pablo Lopez"
"20728319-9","Felipe Godoy"
"20761160-4","Julian Pereyra"
"20762457-k","Felipe Ramirez"
"20764295-8","Sara Diaz"
"20778624-8","Maria Silva"
"20780363-8","Facundo Torres"
"20796416-9","Marisol Pereyra"
"20819150-8","Maria Gutierrez"
"20849717-2","Nicolas Bueno"
"20849721-8","Alex Ruiz"
"20865966-5","Benjamin Ramirez"
"20873789-0","Antonio Sanchez"
"20877712-9","Ximena Diaz"
"20888178-k","Ivan Vega"
"20892590-3","Raul Suarez"
"20905067-k","Matias Castro"
"20949049-6","Facundo Gonzalez"
"20956755-4","Fernando Rojas"
"20961534-8","Natalia Castro"
"20971238-k","Facundo Diaz"
"8000583-3","Andrea Silva"
"8032534-9","Francisca Ramirez"
"8065301-k","Felipe Bueno"
"8073015-9","Isabel Medina"
"8073761-2","Rafael Lopez"
"8075594-k","Max Silva"
"8087060-3","Raul Bueno"
"8092094-4","Sofia Suarez"
"8097853-5","Nicolas Sosa"
"8111299-0","Bianca Herrera"
"8114563-0","Enrique Aguirre"
"8128017-2","Esteban Rios"
"8134000-3","Ian Molina"
"8147134-8","Isidora Acosta"
"8159843-7","Ian Lopez"
"8179822-1","Valentina Silva"
"8184407-6","Ignacio Perez"
"8184682-0","Facundo Flores"
"8186644-4","Benjamin Benitez"
"8191904-7","Alex Gonzalez"
"8219361-0","Pedro Nuñez"
"8234237-7","Alex Suarez"
"8237412-6","Enrique Alvarez"
"8252253-7","Diego Gonzalez"
"8252471-4","Julieta Castro"
"8261464-7","Diego Lopez"
"8279987-1","Ricardo Flores"
"8304051-8","Ximena Acosta"
"8322641-9","Dylan Castro"
"8369907-k","Bruno Rios"
"8389163-2","Luis Morales"
"8408693-9","Rebeca Gonzalez"
"8431864-6","Francisca Morales"
"8441542-7","Fernando Nuñez"
"8475507-3","Paula Acosta"
"8485111-9","Julian Rodriguez"
"8520455-2","Enrique Herrera"
"8535449-k","Flor Acosta"
"8545492-4","Elena Bueno"
"8560937-4","Ximena Rodriguez"
"8571430-5","Carlos Ramirez"
"8578662-0","Matias Martinez"
"8620047-9","Pablo Suarez"
"8620394-k","Andrea Muñoz"
"8637460-6","Enrique Ramirez"
"8644759-7","Ignacio Morales"
"8649952-8","Bianca Molina"
"8673706-8","Alan Suarez"
"8681925-k","Andres Gomez"
"8685962-1","Isabel Romero"
"8700222-4","Paulina Sosa"
"8703104-5","Esteban Romero"
"8705278-3","Camilo Godoy"
"8712056-2","Pablo Aguirre"
"8733050-1","Isabel Benitez"
"8740225-6","Celeste Aguirre"
"8764599-3","Benjamin Godoy"
"8799113-0","Joaquin Benitez"
"8802201-0","Constanza Pereyra"
"8826989-2","Alex Rojas"
"8831228-0","Benjamin Castro"
"8863436-1","Luis Gonzalez"
"8882572-6","Pablo Acosta"
"8886808-6","Paulina Suarez"
"8891180-4","Maria Nuñez"
"8926282-6","Pablo Morales"
"8927431-k","Alan Muñoz"
"8943136-3","Marisol Herrera"
"8977076-k","Marisol Nuñez"
"8981754-7","Bianca Martinez"
"8986755-6","Elena Molina"
"9040082-8","Carolina Perez"
"9044598-1","Valeria Perez"
"9054608-5","Ivan Gonzalez"
"9055945-1","Marisol Morales"
"9060547-7","Rafael Torres"
"9063641-3","Elena Sosa"
"9085331-7","Constanza Benitez"
"9085926-7","Valentina Silva"
"9092073-3","Felipe Vega"
"9093465-9","Marisol Silva"
"9094474-3","Ignacio Sanchez"
"9105934-8","Andres Flores"
"9130385-5","Luna Aguirre"
"9136245-5","Dylan Lopez"
"9136887-1","Sebastian Silva"
"9150059-0","Catalina Bueno"
"9152294-8","Pablo Castro"
"9199929-7","Luis Medina"
"9201513-6","Rafael Bueno"
"9205611-4","Nicolas Suarez"
"9216496-2","Rebeca Molina"
"9255049-1","Ignacio Benitez"
"9257884-3","Alfredo Rios"
"9261119-6","Marisol Muñoz"
"9266850-6","Maria Sanchez"
"9269149-1","Nicolas Romero"
"9286538-3","Rebeca Ramirez"
"9293347-5","Facundo Vega"
"9321178-5","Matias Benitez"
"9360903-7","Antonio Bueno"
"9443932-4","Luna Rojas"
"9444324-8","Carolina Sosa"
"9445879-6","Andrea Lopez"
"9459863-0","Elena Medina"
"9464848-4","Rafael Muñoz"
"9480303-3","Andrea Romero"
"9494985-9","Alex Suarez"
"9497827-6","Felipe Gutierrez"
"9501487-0","Alan Acosta"
"9501589-0","Sara Aguirre"
"9507902-2","Sam Rojas"
"9510008-2","Antonio Acosta"
"9528123-5","Alfredo Ramirez"
"9552104-1","Felipe Perez"
"9563359-4","Ricardo Medina"
"9564504-k","Celeste Muñoz"
"9564634-0","Andres Gutierrez"
"9575995-k","Raul Alvarez"
"9596812-6","Alan Rojas"
"9596955-7","Julieta Diaz"
"9613633-k","Ximena Quinteros"
"9621176-0","Carlos Pereyra"
"9633237-k","Flor Quinteros"
"9647496-8","Diego Godoy"
"9682633-8","Joaquin Gutierrez"
"9691445-8","Facundo Bueno"
"9719816-2","Carlos Sosa"
"9751365-6","Sofia Aguirre"
"9755242-k","Sebastian Flores"
"9777337-5","Rafael Castro"
"9791023-4","Ximena Sanchez"
"9828461-8","Alan Flores"
"9829004-8","Daniela Bueno"
"9834713-5","Nicolas Bueno"
"9838255-4","Nicolas Torres"
"9854001-4","Julian Morales"
"9901992-k","Roberto Martinez"
"9907200-1","Ignacio Medina"
"9914406-k","Hugo Morales"
"9937779-0","Ximena Diaz"
"9939011-3","Marisol Aguirre"
"9949233-7","Matias Quinteros"
"9954610-4","Rafael Rojas"
"9955773-7","Karla Acosta"
"9962953-2","Ignacio Suarez"
"9965544-2","Lucas Muñoz"
"9969055-k","Ricardo Diaz"
"9982043-6","Nicole Rodriguez"
"9984013-9","Daniel Suarez"
"9995143-6","Dylan Acosta"
"9997220-5","Bianca Alvarez"
