"CodigoD","CodigoCA","RutCliente","Porcentaje","Fecha_Inicio","Duracion"
"557","9","11610579-3","0,3","2012-08-08","149"
"558","8","15613342-5","0,1","2011-06-26","102"
"559","4","17999616-6","0,7","2010-07-25","137"
"560","3","12467789-6","0,55","2012-08-09","69"
"561","8","18574899-k","0,15","2010-08-23","85"
"562","8","8578662-0","0,5","2010-10-29","23"
"563","8","20314770-3","0,6","2012-07-18","156"
"564","9","18622587-k","0,15","2010-09-23","126"
"565","2","18483537-0","0,3","2012-02-26","140"
"566","6","20110809-8","0,1","2012-03-10","11"
"567","5","12597738-3","0,35","2012-04-04","162"
"568","10","16322069-9","0,1","2011-03-26","141"
"569","2","15684738-4","0,5","2011-08-20","153"
"570","5","15389778-6","0,1","2011-03-14","51"
"571","2","9501487-0","0,05","2011-04-13","167"
"572","8","15111350-2","0,15","2010-07-23","62"
"573","4","19679629-1","0,2","2010-04-15","163"
"574","5","17031562-k","0,45","2010-01-10","170"
"575","4","12636133-9","0,3","2012-02-03","156"
"576","4","9954610-4","0,05","2012-05-11","119"
"577","5","10522712-1","0,4","2011-06-13","173"
"578","7","19157604-7","0,45","2011-11-14","39"
"579","8","17814924-0","0,25","2010-06-12","20"
"580","8","16379232-0","0,35","2011-06-07","90"
"581","6","16931957-k","0,55","2010-04-24","68"
"582","1","19473444-k","0,15","2011-06-25","32"
"583","6","20143980-9","0,4","2011-04-13","37"
"584","8","20764295-8","0,05","2012-04-18","135"
"585","9","16478405-9","0,5","2012-07-12","127"
"586","3","10647983-4","0,6","2010-03-02","121"
"587","5","18661228-k","0,7","2012-08-07","41"
"588","8","20865966-5","0,45","2010-11-19","175"
"589","6","12383272-4","0,45","2010-01-26","112"
"590","6","20029942-1","0,05","2010-12-01","108"
"591","5","16274390-4","0,6","2010-09-22","117"
"592","2","12995119-8","0,5","2010-08-19","180"
"593","1","10019146-1","0,15","2012-01-24","42"
"594","5","20905067-k","0,5","2012-05-21","159"
"595","10","12623728-2","0,3","2011-11-08","43"
"596","5","20288978-k","0,3","2010-02-28","76"
"597","1","10928461-8","0,5","2010-07-29","96"
"598","5","13543687-5","0,55","2011-11-26","170"
"599","4","20116004-3","0,7","2011-08-10","100"
"600","1","10087763-k","0,6","2010-11-22","40"
"601","4","11564773-3","0,65","2011-02-19","48"
"602","9","13693803-5","0,15","2012-08-03","160"
"603","5","8764599-3","0,6","2011-02-18","15"
"604","1","10019146-1","0,15","2010-10-23","12"
"605","10","11788676-9","0,6","2010-06-17","26"
"606","3","10542388-9","0,15","2010-04-03","52"
"607","5","17399902-5","0,35","2011-09-05","146"
"608","6","15485414-7","0,55","2011-02-20","161"
"609","6","20216754-5","0,3","2010-06-21","133"
"610","5","20199967-9","0,35","2011-03-29","39"
"611","10","8092094-4","0,25","2012-05-22","17"
"612","9","13360849-2","0,5","2011-11-15","154"
"613","7","14123263-6","0,4","2010-12-08","37"
"614","6","19294495-9","0,65","2011-02-06","31"
"615","1","18813263-4","0,05","2011-04-19","64"
"616","3","12430837-2","0,1","2011-04-01","123"
"617","7","14916521-3","0,45","2010-10-03","134"
"618","6","9444324-8","0,15","2010-03-02","107"
"619","9","19486046-8","0,05","2012-06-09","119"
"620","7","10013917-4","0,55","2012-01-03","173"
"621","6","14257574-0","0,3","2011-11-04","36"
"622","2","20143980-9","0,15","2010-03-16","98"
"623","9","8764599-3","0,55","2012-08-03","116"
"624","2","9257884-3","0,7","2011-03-10","55"
"625","8","20567956-4","0,4","2011-05-19","151"
"626","7","9751365-6","0,7","2012-02-06","155"
"627","6","11135976-6","0,5","2011-08-18","107"
"628","4","12623728-2","0,65","2011-11-09","155"
"629","1","9205611-4","0,6","2010-01-19","146"
"630","2","13693803-5","0,45","2011-05-30","21"
"631","2","10397871-4","0,4","2012-08-15","49"
"632","2","12636133-9","0,65","2010-10-21","49"
"633","4","8219361-0","0,6","2011-07-29","156"
"634","10","11891446-1","0,7","2010-05-25","168"
"635","4","11521681-7","0,35","2010-12-14","27"
"636","9","16846507-0","0,25","2010-11-09","57"
"637","5","11255458-6","0,05","2010-11-29","142"
"638","2","20143980-9","0,4","2010-11-22","31"
"639","4","12765419-1","0,6","2010-10-18","163"
"640","7","13360849-2","0,2","2010-02-21","124"
"641","2","19927653-9","0,3","2010-12-30","130"
"642","8","12656082-k","0,25","2010-01-27","113"
"643","3","18770893-3","0,35","2011-04-10","46"
"644","1","20414207-0","0,6","2011-11-14","146"
"645","4","18586096-0","0,7","2010-12-13","37"
"646","7","10665484-7","0,35","2010-01-25","119"
"647","4","18660333-3","0,35","2012-05-27","179"
"648","3","18483537-0","0,1","2011-05-23","172"
"649","10","17031562-k","0,2","2011-02-13","16"
"650","7","18218939-9","0,35","2012-05-02","61"
"651","3","18661228-k","0,65","2011-07-13","28"
"652","5","16379232-0","0,35","2011-05-31","169"
"653","8","8705278-3","0,4","2012-04-14","164"
"654","6","20287021-8","0,35","2012-05-22","16"
"655","6","15804106-8","0,15","2011-01-30","76"
"656","3","15370277-8","0,55","2011-08-21","61"
"657","4","11648952-8","0,55","2012-01-28","68"
"658","1","13943240-4","0,05","2010-02-07","77"
"659","9","15407187-1","0,05","2012-08-30","173"
"660","9","10348708-7","0,7","2011-09-26","148"
"661","4","20372200-2","0,4","2010-01-21","119"
"662","10","12430837-2","0,3","2010-12-11","125"
"663","4","15018324-3","0,45","2011-06-13","70"
"664","6","10036675-3","0,1","2011-02-24","17"
"665","3","11622734-8","0,35","2012-05-07","74"
"666","7","17008439-3","0,05","2012-03-25","53"
"667","1","12428173-1","0,1","2010-09-11","104"
"668","5","13501648-8","0,1","2010-05-13","22"
"669","1","10348708-7","0,4","2011-11-16","113"
"670","4","20361077-5","0,1","2011-03-02","100"
"671","3","10738513-2","0,5","2010-04-14","165"
"672","10","15018324-3","0,05","2011-01-28","139"
"673","7","9954610-4","0,05","2011-03-01","21"
"674","3","17168684-9","0,4","2012-01-29","27"
"675","1","18595277-3","0,2","2011-01-11","54"
"676","6","9791023-4","0,45","2011-09-12","70"
"677","7","18924857-0","0,65","2011-08-13","19"
"678","4","9321178-5","0,5","2010-11-19","80"
"679","1","16907632-4","0,5","2010-01-27","24"
"680","2","9136887-1","0,2","2010-12-31","138"
"681","8","8886808-6","0,2","2010-11-22","118"
"682","8","10665484-7","0,15","2010-10-19","98"
"683","1","8431864-6","0,4","2011-01-27","49"
"684","6","12623728-2","0,3","2012-02-16","115"
"685","3","10789677-6","0,7","2010-05-25","72"
"686","6","19924071-3","0,4","2012-07-14","160"
"687","5","9755242-k","0,25","2010-01-04","49"
"688","3","11163437-7","0,05","2012-07-03","28"
"689","9","11855650-3","0,4","2011-06-02","83"
"690","8","18409648-9","0,2","2011-04-20","164"
"691","2","10348708-7","0,15","2011-12-31","126"
"692","7","10665484-7","0,3","2011-12-19","173"
"693","2","20728319-9","0,7","2010-06-07","54"
"694","4","17399902-5","0,25","2010-07-06","137"
"695","5","16346514-9","0,05","2011-06-14","104"
"696","6","17253905-6","0,15","2010-04-18","93"
"697","3","20350018-6","0,2","2011-12-07","156"
"698","9","9949233-7","0,35","2010-06-03","167"
"699","6","15730407-4","0,3","2011-07-03","136"
"700","1","8831228-0","0,25","2012-07-06","108"
"701","8","17393327-0","0,45","2012-05-09","152"
"702","1","19924071-3","0,55","2010-07-10","160"
"703","5","19973449-7","0,25","2011-04-24","82"
"704","10","10745716-0","0,25","2012-08-03","104"
"705","5","17399902-5","0,2","2011-09-12","43"
"706","9","15730407-4","0,65","2011-06-15","148"
"707","6","13426811-8","0,3","2010-10-17","51"
"708","1","12995226-7","0,1","2012-06-25","29"
"709","10","9838255-4","0,4","2012-08-14","167"
"710","1","9360903-7","0,35","2010-09-29","179"
"711","5","17092438-2","0,5","2012-06-07","116"
"712","3","12827230-4","0,6","2010-11-19","59"
"713","6","11681144-4","0,2","2012-08-09","153"
"714","3","20143980-9","0,7","2011-08-21","155"
"715","8","9838255-4","0,5","2012-03-25","151"
"716","8","20110809-8","0,55","2010-05-25","66"
"717","2","14257574-0","0,2","2011-06-05","98"
"718","2","13618160-7","0,1","2010-07-08","178"
"719","3","20363349-6","0,05","2011-10-16","173"
"720","10","17457191-7","0,6","2011-04-18","111"
"721","5","10928461-8","0,45","2010-11-17","17"
"722","2","14123263-6","0,55","2011-09-22","13"
"723","4","13527954-6","0,45","2010-09-11","151"
"724","9","15130000-9","0,65","2012-04-07","73"
"725","8","14373370-8","0,65","2010-10-20","151"
"726","1","12383272-4","0,2","2010-07-03","114"
"727","6","17534634-6","0,1","2010-03-07","125"
"728","1","19443525-3","0,65","2011-04-22","13"
"729","8","10606931-7","0,7","2010-02-18","145"
"730","5","15963325-4","0,05","2010-12-24","82"
"731","8","15777229-1","0,15","2011-05-29","44"
"732","2","13001416-0","0,3","2012-05-12","153"
"733","2","16765888-6","0,4","2011-09-13","134"
"734","4","18049175-k","0,35","2010-02-24","129"
"735","7","16505716-0","0,65","2012-01-25","38"
"736","6","19216713-2","0,1","2010-05-12","83"
"737","7","8475507-3","0,25","2011-08-16","15"
"738","1","18783342-5","0,05","2011-11-14","137"
"739","10","20865966-5","0,2","2012-02-15","114"
"740","5","13001416-0","0,35","2011-02-20","166"
"741","5","15787804-8","0,5","2010-07-21","119"
"742","9","9834713-5","0,35","2011-08-28","59"
"743","7","16322069-9","0,15","2010-05-10","95"
"744","10","19679534-6","0,5","2011-05-17","152"
"745","6","11521681-7","0,65","2012-04-22","161"
"746","6","19528301-0","0,15","2010-02-24","178"
"747","3","9838255-4","0,25","2010-08-25","147"
"748","5","19679629-1","0,35","2011-02-28","103"
"749","10","14894546-k","0,1","2010-09-23","52"
"750","7","19216713-2","0,4","2010-06-15","152"
"751","4","12535695-6","0,05","2010-01-02","116"
"752","10","9444324-8","0,2","2010-06-16","52"
"753","5","15407187-1","0,35","2011-06-28","133"
"754","8","9199929-7","0,5","2011-01-21","27"
"755","1","17457191-7","0,3","2010-02-20","104"
"756","3","13705952-1","0,35","2012-03-10","49"
"757","4","9834713-5","0,2","2010-03-17","152"
"758","9","9751365-6","0,45","2012-03-18","133"
"759","3","16874860-8","0,6","2011-07-13","37"
"760","5","20036172-6","0,2","2012-01-15","110"
"761","3","9939011-3","0,35","2011-10-17","110"
"762","5","20199967-9","0,7","2010-05-23","148"
"763","4","9901992-k","0,15","2011-04-17","115"
"764","6","14373370-8","0,6","2011-04-21","104"
"765","7","20287021-8","0,05","2010-04-01","119"
"766","6","9838255-4","0,45","2010-08-23","86"
"767","7","11641123-8","0,6","2012-04-23","87"
"768","7","8252253-7","0,1","2012-02-05","72"
"769","1","19026717-9","0,65","2010-01-10","124"
"770","6","13618160-7","0,1","2012-04-26","85"
"771","5","17771891-0","0,05","2011-01-15","167"
"772","8","17253905-6","0,5","2010-03-26","98"
"773","8","17888292-3","0,15","2012-06-16","48"
"774","9","8389163-2","0,5","2012-01-07","45"
"775","5","19009863-0","0,7","2011-05-06","124"
"776","8","10240021-9","0,05","2012-03-19","174"
"777","7","9834713-5","0,2","2010-07-12","167"
